Name of the source,RA,DEC,redshift,FIBER,MJD,PLATE,Link
103346.74+365244.5,158.44478319175232,36.87905125132466,0.5353527069091797,232,57459,8853,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=8853&mjd=57459&fiber=232
095919.14+090659.4,149.829764,9.116513,0.560051,210,52999,1307,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1307&mjd=52999&fiber=210
140325.82+443014.1,210.857611,44.50392,0.413104,471,53115,1467,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1467&mjd=53115&fiber=471
155344.41+063913.1,238.435071,6.653658,0.501259,425,53172,1822,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1822&mjd=53172&fiber=425
092730.38+415004.5,141.876584,41.834611,0.595669,456,52636,939,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=939&mjd=52636&fiber=456
113330.30+105223.3,173.376264,10.873147,0.511125,334,52765,1224,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1224&mjd=52765&fiber=334
113923.66+002301.6,174.848587,0.383781,0.47205,350,51959,283,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=283&mjd=51959&fiber=350
072939.02+353613.4,112.41259861515512,35.60374136350196,0.5926849246025085,730,57742,9363,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=9363&mjd=57742&fiber=730
092525.16+202139.0,141.35486864512464,20.360842733628417,0.459602802991867,230,57809,9561,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=9561&mjd=57809&fiber=230
110023.10+001818.1,165.09628825282357,0.305052121529572,0.547,726,55302,3836,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=3836&mjd=55302&fiber=726
000132.36+211336.2,0.3848705535784802,21.226724744078627,0.4389863610267639,190,56957,7595,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=7595&mjd=56957&fiber=190
131549.46+062047.8,198.956124,6.34662,0.36,220,54507,1797,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1797&mjd=54507&fiber=220
233813.01+224748.9,354.5542334667455,22.79693776160934,0.5594209432601929,472,56984,7600,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=7600&mjd=56984&fiber=472
105115.75+280527.1,162.81564052579822,28.090865182846816,0.423,175,56356,6449,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=6449&mjd=56356&fiber=175
075005.28+292944.3,117.522012,29.495662,0.327794,280,52636,1060,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1060&mjd=52636&fiber=280
083325.69+391204.7,128.357057,39.201306,0.322641,344,52317,828,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=828&mjd=52317&fiber=344
112021.37+110434.7,170.089048,11.076326,0.495815,135,53062,1605,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1605&mjd=53062&fiber=135
205125.70+165253.0,312.857088,16.881416,0.528586,576,53565,2259,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=2259&mjd=53565&fiber=576
145126.15+032643.3,222.858996,3.445375,0.479004,232,52045,588,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=588&mjd=52045&fiber=232
165252.67+265001.9,253.219478,26.833887,0.350225,4,53475,1690,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1690&mjd=53475&fiber=4
154141.91+123735.0,235.424662,12.626413,0.5672,122,54567,2517,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=2517&mjd=54567&fiber=122
085605.83+450520.0,134.02432,45.088914,0.528031,431,52605,897,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=897&mjd=52605&fiber=431
163206.05+441659.6,248.025242,44.283227,0.530851,156,52057,626,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=626&mjd=52057&fiber=156
084245.18+445533.9,130.688284,44.926095,0.468303,214,52235,763,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=763&mjd=52235&fiber=214
155846.72+223549.6,239.694703,22.59712,0.399479,596,53557,2171,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=2171&mjd=53557&fiber=596
170154.61+320551.7,255.47755846953504,32.09771086865963,0.5634186863899231,175,58397,10901,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=10901&mjd=58397&fiber=175
080644.42+484149.1,121.6851234169892,48.69699306465719,0.37,833,56935,7324,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=7324&mjd=56935&fiber=833
075546.20+541245.4,118.942507,54.212629,0.540883,340,53383,1870,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1870&mjd=53383&fiber=340
164407.43+321302.9,251.03098765728936,32.21748686681418,0.5708351731300354,428,58257,10915,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=10915&mjd=58257&fiber=428
231446.55+310235.4,348.6939665045602,31.04317917150713,0.5064065456390381,750,58044,7770,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=7770&mjd=58044&fiber=750
123248.32+134945.1,188.201334,13.82922,0.504431,85,53442,1768,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1768&mjd=53442&fiber=85
231530.29-083249.3,348.876232,-8.54703,0.463721,613,52226,726,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=726&mjd=52226&fiber=613
015115.53+172013.1,27.81474564955033,17.336973327434414,0.5026920437812805,838,58508,11044,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=11044&mjd=58508&fiber=838
133655.51+654116.0,204.231294,65.687788,0.437764,225,51989,497,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=497&mjd=51989&fiber=225
005516.36-014704.5,13.818192349465548,-1.7846078440919757,0.5766943097114563,74,56902,7871,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=7871&mjd=56902&fiber=74
161826.93+081950.7,244.612222,8.330757,0.446332,369,53501,1732,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1732&mjd=53501&fiber=369
100533.63+430119.9,151.39015,43.02221,0.409535,620,52672,1217,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1217&mjd=52672&fiber=620
074217.52+392612.0,115.57303082786976,39.43668577239404,0.417,594,55480,3670,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=3670&mjd=55480&fiber=594
132048.67+510313.6,200.2027986588193,51.05380332549521,0.4665729701519012,734,57426,8210,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=8210&mjd=57426&fiber=734
170056.01+243928.2,255.233379,24.657834,0.509207,428,53260,1687,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1687&mjd=53260&fiber=428
