InputID,ID,Mag,Magerr,RA,Decl,MJD,Blend
152942.19+350851.3,1135069031784,18.28,0.12,232.42567,35.14754,53480.29969,0
152942.19+350851.3,1135069031784,18.04,0.11,232.42563,35.14756,53480.30815,0
152942.19+350851.3,1135069031784,18.05,0.11,232.42567,35.14763,53480.31663,0
152942.19+350851.3,1135069031784,18.11,0.11,232.42578,35.14776,53480.32506,0
152942.19+350851.3,1135069031784,18.04,0.11,232.42570,35.14769,53562.19301,0
152942.19+350851.3,1135069031784,18.04,0.11,232.42575,35.14768,53562.19954,0
152942.19+350851.3,1135069031784,18.04,0.11,232.42564,35.14765,53562.20605,0
152942.19+350851.3,1135069031784,18.10,0.12,232.42578,35.14772,53562.21261,0
152942.19+350851.3,1135069031784,17.97,0.11,232.42580,35.14750,53526.27012,0
152942.19+350851.3,1135069031784,18.16,0.12,232.42571,35.14759,53526.27843,0
152942.19+350851.3,1135069031784,17.86,0.11,232.42581,35.14763,53526.28667,0
152942.19+350851.3,1135069031784,18.06,0.11,232.42571,35.14767,53526.29487,0
152942.19+350851.3,1135069031784,18.11,0.12,232.42569,35.14762,53534.27863,0
152942.19+350851.3,1135069031784,18.10,0.12,232.42579,35.14769,53534.28848,0
152942.19+350851.3,1135069031784,18.12,0.12,232.42576,35.14768,53534.29827,0
152942.19+350851.3,1135069031784,18.05,0.11,232.42568,35.14767,53534.30797,0
152942.19+350851.3,1135069031784,17.99,0.12,232.42575,35.14762,53549.22367,0
152942.19+350851.3,1135069031784,18.03,0.12,232.42580,35.14758,53549.23151,0
152942.19+350851.3,1135069031784,17.93,0.11,232.42566,35.14760,53549.23933,0
152942.19+350851.3,1135069031784,18.04,0.12,232.42578,35.14768,53549.24719,0
152942.19+350851.3,1135069031784,18.13,0.12,232.42563,35.14759,53509.27229,0
152942.19+350851.3,1135069031784,18.23,0.12,232.42565,35.14774,53509.28008,0
152942.19+350851.3,1135069031784,18.05,0.11,232.42564,35.14760,53509.28785,0
152942.19+350851.3,1135069031784,18.17,0.12,232.42580,35.14769,53509.29571,0
152942.19+350851.3,1135069031784,18.00,0.11,232.42564,35.14758,53852.41722,0
152942.19+350851.3,1135069031784,17.97,0.11,232.42589,35.14779,53852.42484,0
152942.19+350851.3,1135069031784,18.00,0.11,232.42561,35.14771,53852.43277,0
152942.19+350851.3,1135069031784,18.09,0.12,232.42570,35.14765,53852.44043,0
152942.19+350851.3,1135069031784,18.21,0.36,232.42584,35.14760,53900.25779,0
152942.19+350851.3,1135069031784,17.98,0.33,232.42547,35.14757,53900.25975,0
152942.19+350851.3,1135069031784,17.94,0.11,232.42578,35.14767,53796.43538,0
152942.19+350851.3,1135069031784,17.81,0.10,232.42563,35.14769,53796.44284,0
152942.19+350851.3,1135069031784,17.95,0.11,232.42585,35.14765,53796.45031,0
152942.19+350851.3,1135069031784,17.98,0.11,232.42571,35.14752,53796.45781,0
152942.19+350851.3,1135069031784,17.92,0.11,232.42594,35.14771,53861.40189,0
152942.19+350851.3,1135069031784,17.94,0.11,232.42576,35.14777,53861.40855,0
152942.19+350851.3,1135069031784,18.04,0.12,232.42568,35.14766,53861.41504,0
152942.19+350851.3,1135069031784,18.12,0.12,232.42562,35.14764,53861.42160,0
152942.19+350851.3,1135069031784,18.05,0.12,232.42564,35.14777,53886.33630,0
152942.19+350851.3,1135069031784,18.03,0.12,232.42569,35.14755,53886.34438,0
152942.19+350851.3,1135069031784,18.09,0.12,232.42568,35.14755,53886.35244,0
152942.19+350851.3,1135069031784,18.10,0.12,232.42566,35.14774,53886.36059,0
152942.19+350851.3,1135069031784,18.19,0.12,232.42571,35.14769,53994.12845,0
152942.19+350851.3,1135069031784,18.07,0.11,232.42560,35.14767,53994.13325,0
152942.19+350851.3,1135069031784,18.08,0.11,232.42574,35.14751,53994.13805,0
152942.19+350851.3,1135069031784,18.13,0.11,232.42578,35.14764,53994.14287,0
152942.19+350851.3,1135069031784,18.20,0.16,232.42559,35.14762,54003.09933,0
152942.19+350851.3,1135069031784,18.04,0.15,232.42570,35.14755,54003.10358,0
152942.19+350851.3,1135069031784,18.12,0.16,232.42552,35.14761,54003.10786,0
152942.19+350851.3,1135069031784,18.10,0.15,232.42559,35.14767,54003.11213,0
152942.19+350851.3,1135069031784,18.22,0.12,232.42566,35.14768,54209.40733,0
152942.19+350851.3,1135069031784,18.11,0.12,232.42583,35.14763,54209.41489,0
152942.19+350851.3,1135069031784,18.32,0.12,232.42572,35.14759,54209.42247,0
152942.19+350851.3,1135069031784,18.34,0.13,232.42565,35.14761,54209.43000,0
152942.19+350851.3,1135069031784,18.12,0.12,232.42559,35.14763,54157.34903,0
152942.19+350851.3,1135069031784,18.15,0.12,232.42590,35.14775,54157.35886,0
152942.19+350851.3,1135069031784,18.20,0.12,232.42583,35.14770,54157.36865,0
152942.19+350851.3,1135069031784,18.10,0.11,232.42589,35.14759,54157.37842,0
152942.19+350851.3,1135069031784,18.28,0.12,232.42575,35.14767,54258.28085,0
152942.19+350851.3,1135069031784,18.19,0.12,232.42575,35.14763,54258.28685,0
152942.19+350851.3,1135069031784,18.43,0.13,232.42561,35.14761,54258.29283,0
152942.19+350851.3,1135069031784,18.19,0.12,232.42586,35.14762,54258.29879,0
152942.19+350851.3,1135069031784,18.26,0.13,232.42574,35.14756,54272.27805,0
152942.19+350851.3,1135069031784,18.34,0.13,232.42577,35.14750,54272.28350,0
152942.19+350851.3,1135069031784,18.36,0.13,232.42567,35.14766,54272.28894,0
152942.19+350851.3,1135069031784,18.29,0.13,232.42564,35.14763,54272.29437,0
152942.19+350851.3,1135069031784,17.86,0.11,232.42584,35.14767,54176.37363,0
152942.19+350851.3,1135069031784,18.10,0.13,232.42567,35.14778,54176.38122,0
152942.19+350851.3,1135069031784,18.32,0.12,232.42586,35.14766,54176.38879,0
152942.19+350851.3,1135069031784,18.29,0.12,232.42560,35.14764,54176.39642,0
152942.19+350851.3,1135069031784,18.25,0.12,232.42562,35.14763,54232.39215,0
152942.19+350851.3,1135069031784,18.13,0.12,232.42572,35.14755,54232.39916,0
152942.19+350851.3,1135069031784,18.36,0.13,232.42584,35.14765,54232.40616,0
152942.19+350851.3,1135069031784,18.31,0.13,232.42585,35.14747,54232.41319,0
152942.19+350851.3,1135069031784,18.25,0.13,232.42562,35.14756,54240.23348,0
152942.19+350851.3,1135069031784,18.27,0.13,232.42588,35.14774,54240.24172,0
152942.19+350851.3,1135069031784,18.30,0.13,232.42564,35.14751,54240.24998,0
152942.19+350851.3,1135069031784,18.22,0.13,232.42567,35.14759,54240.25839,0
152942.19+350851.3,1135069031784,18.39,0.14,232.42564,35.14773,54392.08890,0
152942.19+350851.3,1135069031784,18.26,0.14,232.42584,35.14770,54392.09228,0
152942.19+350851.3,1135069031784,18.34,0.14,232.42548,35.14776,54392.09566,0
152942.19+350851.3,1135069031784,18.30,0.14,232.42573,35.14755,54392.09903,0
152942.19+350851.3,1135069031784,18.25,0.11,232.42591,35.14768,54348.14868,0
152942.19+350851.3,1135069031784,18.37,0.12,232.42574,35.14770,54348.15658,0
152942.19+350851.3,1135069031784,18.25,0.11,232.42570,35.14765,54348.16463,0
152942.19+350851.3,1135069031784,18.14,0.11,232.42571,35.14773,54348.17287,0
152942.19+350851.3,1135069031784,18.42,0.13,232.42573,35.14770,54559.44686,0
152942.19+350851.3,1135069031784,18.38,0.13,232.42554,35.14768,54559.45195,0
152942.19+350851.3,1135069031784,18.37,0.13,232.42581,35.14761,54559.45706,0
152942.19+350851.3,1135069031784,18.39,0.13,232.42582,35.14768,54559.46219,0
152942.19+350851.3,1135069031784,18.34,0.12,232.42557,35.14761,54567.42086,0
152942.19+350851.3,1135069031784,18.42,0.13,232.42578,35.14768,54567.42790,0
152942.19+350851.3,1135069031784,18.36,0.13,232.42566,35.14762,54567.43499,0
152942.19+350851.3,1135069031784,18.54,0.13,232.42553,35.14772,54567.44204,0
