Name of the source,RA,DEC,redshift,FIBER,MJD,PLATE,Link
152942.19+350851.3,232.4258318203353,35.14758608779926,0.287,490,58198,10742,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=10742&mjd=58198&fiber=490
075005.28+292944.3,117.522012,29.495662,0.327794,280,52636,1060,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1060&mjd=52636&fiber=280
095919.14+090659.4,149.829764,9.116513,0.560051,210,52999,1307,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1307&mjd=52999&fiber=210
150348.33+193941.3,225.951406,19.661489,0.3374,463,54556,2792,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=2792&mjd=54556&fiber=463
092158.92+034235.7,140.495517,3.709927,0.324812,629,52252,567,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=567&mjd=52252&fiber=629
164331.90+304835.5,250.882954,30.809881,0.184137,321,52793,1342,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1342&mjd=52793&fiber=321
083325.69+391204.7,128.357057,39.201306,0.322641,344,52317,828,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=828&mjd=52317&fiber=344
001255.59+014750.9,3.231666122073648,1.797483230308588,0.4335806667804718,238,56988,7853,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=7853&mjd=56988&fiber=238
154535.87+014958.1,236.399486,1.832817,0.2496,584,54562,2955,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=2955&mjd=54562&fiber=584
093856.54+435415.0,144.73558536138452,43.904171502630085,0.388,378,55957,4695,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=4695&mjd=55957&fiber=378
172052.29+590153.7,260.217914,59.031587,0.351248,354,52017,366,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=366&mjd=52017&fiber=354
205601.38-062049.7,314.005764,-6.347166,0.4154,179,52176,636,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=636&mjd=52176&fiber=179
090550.30+003948.1,136.459595,0.663373,0.354153,504,51929,470,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=470&mjd=51929&fiber=504
140655.51+582200.0,211.73130498763408,58.36667431845427,0.2859188020229339,280,57864,8393,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=8393&mjd=57864&fiber=280
161742.53+322234.4,244.42722969972576,32.37622559276209,0.151,746,58254,10918,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=10918&mjd=58254&fiber=746
153145.14+431933.8,232.93809504482945,43.32605883361813,0.508,406,56102,6041,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=6041&mjd=56102&fiber=406
110104.14+062829.5,165.267281,6.474882,0.222369,62,52646,1002,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1002&mjd=52646&fiber=62
133433.24-013825.3,203.638511,-1.640382,0.291711,339,52427,912,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=912&mjd=52427&fiber=339
012715.48-001115.1,21.814537994462118,-0.1875514510340421,0.3749226331710815,365,57373,8791,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=8791&mjd=57373&fiber=365
134406.11+392817.4,206.025492,39.471524,0.266149,206,53050,1377,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1377&mjd=53050&fiber=206
121028.83+025454.2,182.62015,2.915059,0.440982,635,52024,517,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=517&mjd=52024&fiber=635
143947.10+421317.3,219.946264,42.221484,0.427513,510,53112,1396,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1396&mjd=53112&fiber=510
094203.33+593709.5,145.51391597425348,59.61931239235252,0.536,120,56684,5716,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=5716&mjd=56684&fiber=120
022325.01-003612.6,35.854211951268354,-0.6035182003689089,0.4783781766891479,928,58076,9375,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=9375&mjd=58076&fiber=928
220546.32+005319.2,331.4430402844544,0.8886892407921507,0.285,750,55481,4199,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=4199&mjd=55481&fiber=750
082311.26+435318.5,125.79693845098755,43.88848029430682,0.182,196,56340,6380,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=6380&mjd=56340&fiber=196
113618.90+125554.8,174.07879,12.931904,0.27548,484,53083,1607,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1607&mjd=53083&fiber=484
075947.73+112507.3,119.948877,11.418709,0.337459,469,53794,2418,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=2418&mjd=53794&fiber=469
132404.20+433407.1,201.017506,43.56865,0.338035,111,53089,1376,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1376&mjd=53089&fiber=111
084245.18+445533.9,130.688284,44.926095,0.468303,214,52235,763,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=763&mjd=52235&fiber=214
143418.47+491236.5,218.576998,49.210158,0.248605,54,52460,1046,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=1046&mjd=52460&fiber=54
095746.83+303024.2,149.44514491082697,30.50674156731548,0.335,881,58143,10447,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?plate=10447&mjd=58143&fiber=881
