tid,mjd,magpsf_corr,sigmapsf,fid,source_name
ztf,58254.40302080009,18.238907,0.143266,1,152942.19+350851.3
ztf,58278.2269791998,18.095839,0.08060177,1,152942.19+350851.3
ztf,58278.26773149986,17.817636,0.12481627,2,152942.19+350851.3
ztf,58281.21268519992,17.77599,0.0954336,2,152942.19+350851.3
ztf,58288.27400460001,17.74686,0.13765742,2,152942.19+350851.3
ztf,58288.35150460014,18.019012,0.12198128,1,152942.19+350851.3
ztf,58294.194583300035,18.008568,0.15202317,1,152942.19+350851.3
ztf,58297.22692129994,18.003393,0.15877563,1,152942.19+350851.3
ztf,58297.29627310019,17.699236,0.20492768,2,152942.19+350851.3
ztf,58300.22579859989,17.926462,0.11159952,1,152942.19+350851.3
ztf,58300.33041669987,17.66179,0.1634463,2,152942.19+350851.3
ztf,58303.171770799905,17.712772,0.13871615,2,152942.19+350851.3
ztf,58306.218020800035,17.96217,0.11949558,1,152942.19+350851.3
ztf,58324.17137729982,17.69308,0.1538823,2,152942.19+350851.3
ztf,58324.254120400175,17.853033,0.235959,1,152942.19+350851.3
ztf,58330.171643500216,17.89861,0.08558227,1,152942.19+350851.3
ztf,58330.30262729991,17.702501,0.16097437,2,152942.19+350851.3
ztf,58333.18615739979,17.91498,0.13645008,1,152942.19+350851.3
ztf,58336.1866088002,17.903696,0.102398746,1,152942.19+350851.3
ztf,58336.21372690005,17.665287,0.10659597,2,152942.19+350851.3
ztf,58344.162986100186,17.949364,0.15290381,1,152942.19+350851.3
ztf,58344.18576390017,17.628096,0.10250169,2,152942.19+350851.3
ztf,58347.19975689985,17.900991,0.15314248,1,152942.19+350851.3
ztf,58480.529652799945,17.690044,0.10834539,1,152942.19+350851.3
ztf,58487.57776620006,17.457266,0.076399036,2,152942.19+350851.3
ztf,58522.515231499914,17.55092,0.081587814,1,152942.19+350851.3
ztf,58538.50370369991,17.279846,0.13330492,2,152942.19+350851.3
ztf,58538.52545139985,17.418835,0.09046727,1,152942.19+350851.3
ztf,58541.47910880018,17.484457,0.057884954,1,152942.19+350851.3
ztf,58541.48603009991,17.332077,0.070446424,2,152942.19+350851.3
ztf,58558.284548600204,17.279938,0.10199556,2,152942.19+350851.3
ztf,58580.33377309982,17.227913,0.0613684,2,152942.19+350851.3
ztf,58589.24368060008,17.171356,0.08430532,2,152942.19+350851.3
ztf,58593.30733799981,17.181166,0.07499436,2,152942.19+350851.3
ztf,58606.257141199894,17.181433,0.06817419,2,152942.19+350851.3
ztf,58608.265752300154,17.243937,0.07154828,2,152942.19+350851.3
ztf,58617.283321800176,17.181747,0.05745223,2,152942.19+350851.3
ztf,58618.22515049996,17.172215,0.055098537,2,152942.19+350851.3
ztf,59093.165092600044,17.085169,0.053612594,1,152942.19+350851.3
ztf,59093.20679400023,16.968716,0.056598358,2,152942.19+350851.3
ztf,59094.16195600014,16.968914,0.07077336,2,152942.19+350851.3
ztf,59094.187650499865,17.093811,0.063682064,1,152942.19+350851.3
ztf,59095.142546299845,16.966776,0.05881102,2,152942.19+350851.3
ztf,59095.18439809978,17.10003,0.059391707,1,152942.19+350851.3
ztf,59128.15180560015,17.213173,0.07725592,1,152942.19+350851.3
ztf,59130.16318289982,17.345163,0.079307154,1,152942.19+350851.3
ztf,59215.559178200085,17.166456,0.080170415,2,152942.19+350851.3
ztf,59215.57200230006,17.352715,0.077001005,1,152942.19+350851.3
ztf,59217.54858799977,17.286154,0.08071728,1,152942.19+350851.3
ztf,59219.53988429997,17.321228,0.06553733,1,152942.19+350851.3
ztf,59221.53928240016,17.190819,0.063934,2,152942.19+350851.3
ztf,59249.49885419989,17.191465,0.043938864,2,152942.19+350851.3
ztf,59249.54103010008,17.337332,0.05473718,1,152942.19+350851.3
ztf,59251.519745400175,17.165857,0.061602,2,152942.19+350851.3
ztf,59251.53815970011,17.348427,0.055544,1,152942.19+350851.3
ztf,59253.50993059995,17.193295,0.06699633,2,152942.19+350851.3
ztf,59253.52971060015,17.346474,0.054692145,1,152942.19+350851.3
ztf,59255.43023149995,17.19771,0.05053886,2,152942.19+350851.3
ztf,59258.486817100085,17.207363,0.08644873,2,152942.19+350851.3
ztf,59258.52005789988,17.368015,0.05225088,1,152942.19+350851.3
ztf,59263.48531250004,17.211428,0.07337032,2,152942.19+350851.3
ztf,59263.51538190013,17.384724,0.06900497,1,152942.19+350851.3
ztf,59278.48807869991,17.241077,0.053201962,2,152942.19+350851.3
ztf,59278.521794000175,17.420908,0.06770791,1,152942.19+350851.3
ztf,59282.50964119984,17.239605,0.04994477,2,152942.19+350851.3
ztf,59292.44975689985,17.486946,0.07189892,1,152942.19+350851.3
ztf,59292.46788189979,17.28369,0.068545744,2,152942.19+350851.3
ztf,59295.30846060021,17.45398,0.100841396,1,152942.19+350851.3
ztf,59295.408402800094,17.28572,0.053862266,2,152942.19+350851.3
ztf,59297.322488400154,17.463776,0.06584805,1,152942.19+350851.3
ztf,59297.406921300106,17.285418,0.06700114,2,152942.19+350851.3
ztf,59300.38765050005,17.502495,0.079125114,1,152942.19+350851.3
ztf,59300.44810190005,17.281214,0.0773591,2,152942.19+350851.3
ztf,59305.40716439998,17.465557,0.064376585,1,152942.19+350851.3
ztf,59305.45462960005,17.261566,0.0613567,2,152942.19+350851.3
ztf,59307.38782409998,17.476887,0.05982819,1,152942.19+350851.3
ztf,59309.413032399956,17.277458,0.07916758,2,152942.19+350851.3
ztf,59311.372557899915,17.459295,0.053345975,1,152942.19+350851.3
ztf,59311.468356499914,17.280783,0.0685812,2,152942.19+350851.3
ztf,59313.46746530011,17.459724,0.06219383,1,152942.19+350851.3
ztf,59317.475763900205,17.4754,0.051993106,1,152942.19+350851.3
ztf,59320.4760532002,17.260592,0.07580999,2,152942.19+350851.3
ztf,59322.279178199824,17.272995,0.05266564,2,152942.19+350851.3
ztf,59322.35085650021,17.458342,0.060301762,1,152942.19+350851.3
ztf,59324.384178199805,17.443586,0.062424585,1,152942.19+350851.3
ztf,59328.299317100085,17.261112,0.054805525,2,152942.19+350851.3
ztf,59328.349074100144,17.486143,0.06754249,1,152942.19+350851.3
ztf,59336.341180600226,17.269169,0.06801129,2,152942.19+350851.3
ztf,59336.341180600226,17.269146,0.068011,2,152942.19+350851.3
ztf,59343.32701390004,17.259764,0.07005559,2,152942.19+350851.3
ztf,59354.394548600074,17.44055,0.07014446,1,152942.19+350851.3
ztf,59354.412696800195,17.293657,0.07499666,2,152942.19+350851.3
ztf,59358.32341440022,17.240858,0.084242605,2,152942.19+350851.3
ztf,59358.42635420011,17.442223,0.07459429,1,152942.19+350851.3
ztf,59361.31734950002,17.45314,0.07525199,1,152942.19+350851.3
ztf,59361.371111100074,17.235579,0.057977427,2,152942.19+350851.3
ztf,59363.30042820005,17.429691,0.06266914,1,152942.19+350851.3
ztf,59363.36020829994,17.249968,0.0658226,2,152942.19+350851.3
ztf,59365.32668979978,17.429571,0.0689556,1,152942.19+350851.3
ztf,59365.3517593001,17.261553,0.05485784,2,152942.19+350851.3
ztf,59378.29799770005,17.275454,0.051010758,2,152942.19+350851.3
ztf,59390.23603009991,17.464327,0.07635409,1,152942.19+350851.3
ztf,59392.2369328998,17.46142,0.06188526,1,152942.19+350851.3
ztf,59411.19509259984,17.513544,0.06337992,1,152942.19+350851.3
ztf,59414.23530089995,17.47915,0.08026781,1,152942.19+350851.3
ztf,59436.2047917,17.324162,0.062251136,2,152942.19+350851.3
ztf,59436.24734950019,17.525318,0.08210515,1,152942.19+350851.3
ztf,59447.19715279993,17.358786,0.080324665,2,152942.19+350851.3
ztf,59600.45142359985,17.41646,0.07825922,1,152942.19+350851.3
ztf,59600.53784719994,17.260403,0.075911276,2,152942.19+350851.3
ztf,59623.416759300046,17.168533,0.07097719,2,152942.19+350851.3
ztf,59623.52629629988,17.319057,0.047849692,1,152942.19+350851.3
ztf,59625.39207179984,17.342272,0.08442672,1,152942.19+350851.3
ztf,59625.45047450019,17.1677,0.048149146,2,152942.19+350851.3
ztf,59628.446006900165,17.171429,0.064428,2,152942.19+350851.3
ztf,59628.494618100114,17.333233,0.06211773,1,152942.19+350851.3
ztf,59630.452106500044,17.273952,0.0654839,1,152942.19+350851.3
ztf,59630.49209489999,17.147123,0.057589393,2,152942.19+350851.3
ztf,59637.42824070016,17.15917,0.059017047,2,152942.19+350851.3
ztf,59637.49197919993,17.25922,0.06299059,1,152942.19+350851.3
