MJD,m,dm,F,source_name
61177.460954,-18.335,0.05,c,152942.19+350851.3
61177.491096,-18.511,0.055,c,152942.19+350851.3
61177.494266,-18.428,0.061,c,152942.19+350851.3
61177.501809,-18.309,0.031,c,152942.19+350851.3
61181.414784,-18.445,0.058,c,152942.19+350851.3
61181.41802,-18.463,0.069,c,152942.19+350851.3
61181.425134,-18.597,0.073,c,152942.19+350851.3
61181.458172,-18.58,0.078,c,152942.19+350851.3
61182.479605,-18.457,0.081,c,152942.19+350851.3
61182.483501,-18.499,0.088,c,152942.19+350851.3
61182.514095,-18.804,0.117,c,152942.19+350851.3
61182.541783,-18.335,0.074,c,152942.19+350851.3
61183.578138,-18.244,0.076,c,152942.19+350851.3
61183.581853,-18.31,0.084,c,152942.19+350851.3
61183.598218,-18.456,0.101,c,152942.19+350851.3
61183.611303,-18.72,0.192,c,152942.19+350851.3
61184.443284,-18.782,0.102,o,152942.19+350851.3
61184.446463,-19.145,0.197,o,152942.19+350851.3
61184.452014,-18.817,0.097,o,152942.19+350851.3
61184.473931,-18.658,0.095,o,152942.19+350851.3
61184.619998,-20.591,5.588,c,152942.19+350851.3
61185.418747,-19.183,0.159,o,152942.19+350851.3
61185.424776,-18.59,0.09,o,152942.19+350851.3
61185.444925,-18.694,0.119,o,152942.19+350851.3
61185.448155,-18.685,0.122,o,152942.19+350851.3
61186.401909,-19.031,0.191,o,152942.19+350851.3
61186.406045,-18.975,0.19,o,152942.19+350851.3
61186.414404,-19.189,0.199,o,152942.19+350851.3
61186.449294,-18.701,0.115,o,152942.19+350851.3
61187.395295,-18.796,0.139,o,152942.19+350851.3
61187.400937,-18.583,0.108,o,152942.19+350851.3
61187.409403,-18.702,0.143,o,152942.19+350851.3
61187.412643,-18.59,0.116,o,152942.19+350851.3
61188.395511,-19.076,0.258,o,152942.19+350851.3
61188.429791,-18.564,0.189,o,152942.19+350851.3
61188.432954,-19.26,0.266,o,152942.19+350851.3
61188.439317,-18.586,0.187,o,152942.19+350851.3
61189.415614,-19.126,0.32,o,152942.19+350851.3
61189.418846,-18.393,0.166,o,152942.19+350851.3
61189.425424,-19.403,0.387,o,152942.19+350851.3
61189.435377,-18.589,0.195,o,152942.19+350851.3
61192.403568,-19.092,0.227,o,152942.19+350851.3
61192.41064,-19.005,0.245,o,152942.19+350851.3
61192.413535,-18.857,0.202,o,152942.19+350851.3
61192.42367,-18.686,0.191,o,152942.19+350851.3
61194.526725,-19.179,0.302,o,152942.19+350851.3
61194.529903,-19.07,0.354,o,152942.19+350851.3
61194.535429,-19.001,0.383,o,152942.19+350851.3
61194.546123,-19.164,1.26,o,152942.19+350851.3
61195.394252,-19.032,0.144,o,152942.19+350851.3
61195.397868,-18.68,0.101,o,152942.19+350851.3
61195.404664,-18.519,0.128,o,152942.19+350851.3
