Name of the source,RA,DEC,redshift,FIBER,MJD,PLATE,Link
113020.40+422204.2,172.58501395581305,42.36785465519374,0.991,696,55684,4699,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=172.58501395581305&dec=42.36785465519374&plate=4699&mjd=55684&fiber=696&objId=4699-55684-0696
093453.24+121027.8,143.72184863500812,12.174399081216809,1.025,162,55973,5313,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=143.72184863500812&dec=12.174399081216809&plate=5313&mjd=55973&fiber=162&objId=5313-55973-0162
110829.18+645132.3,167.12159668464577,64.85899180286154,0.714,18,56740,7105,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=167.12159668464577&dec=64.85899180286154&plate=7105&mjd=56740&fiber=18&objId=7105-56740-0018
212501.20-081328.6,321.255029,-8.224618,0.624964,130,52178,640,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=321.255029&dec=-8.224618&plate=640&mjd=52178&fiber=130&objId=0640-52178-0130
161350.30+041917.6,243.45960927111847,4.321557870692247,0.986,934,55687,4807,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=243.45960927111847&dec=4.321557870692247&plate=4807&mjd=55687&fiber=934&objId=4807-55687-0934
154128.24+553156.7,235.3676911805113,55.53244191112317,1.035,796,56452,6708,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=235.3676911805113&dec=55.53244191112317&plate=6708&mjd=56452&fiber=796&objId=6708-56452-0796
113330.30+105223.3,173.376264,10.873147,0.511125,334,52765,1224,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=173.376264&dec=10.873147&plate=1224&mjd=52765&fiber=334&objId=1224-52765-0334
162806.68+434029.7,247.027866891676,43.67493655467828,1.022,452,56097,6030,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=247.027866891676&dec=43.67493655467828&plate=6030&mjd=56097&fiber=452&objId=6030-56097-0452
081336.06+481302.6,123.40025275404189,48.21740003353877,0.87,424,55208,3693,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=123.40025275404189&dec=48.21740003353877&plate=3693&mjd=55208&fiber=424&objId=3693-55208-0424
000123.69+063230.9,0.3487189635453092,6.541931250449501,1.0328068733215332,752,57367,8740,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=0.3487189635453092&dec=6.541931250449501&plate=8740&mjd=57367&fiber=752&objId=8740-57367-0752
141436.87+615715.4,213.6536608923793,61.95428362703973,1.025,994,56419,6815,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=213.6536608923793&dec=61.95428362703973&plate=6815&mjd=56419&fiber=994&objId=6815-56419-0994
080904.00+075153.7,122.2666895559501,7.864919310390662,0.789,582,55867,4842,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=122.2666895559501&dec=7.864919310390662&plate=4842&mjd=55867&fiber=582&objId=4842-55867-0582
011100.99+243005.4,17.754142702108595,24.50151314732256,1.0226411819458008,164,57367,7679,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=17.754142702108595&dec=24.50151314732256&plate=7679&mjd=57367&fiber=164&objId=7679-57367-0164
232810.65+293709.8,352.0444092007109,29.61941576102785,1.0175838470458984,229,58049,7767,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=352.0444092007109&dec=29.61941576102785&plate=7767&mjd=58049&fiber=229&objId=7767-58049-0229
153106.33+455750.6,232.77640813350325,45.96406858146147,0.997,266,56397,6735,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=232.77640813350325&dec=45.96406858146147&plate=6735&mjd=56397&fiber=266&objId=6735-56397-0266
142658.57-002056.4,216.744045,-0.349001,0.62789,317,51637,306,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=216.744045&dec=-0.349001&plate=306&mjd=51637&fiber=317&objId=0306-51637-0317
154251.47+324824.5,235.71448575691312,32.80681460991331,1.019,257,55747,4971,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=235.71448575691312&dec=32.80681460991331&plate=4971&mjd=55747&fiber=257&objId=4971-55747-0257
164556.72+443054.5,251.48636155506236,44.51515922024585,1.016355037689209,573,58015,8536,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=251.48636155506236&dec=44.51515922024585&plate=8536&mjd=58015&fiber=573&objId=8536-58015-0573
000051.09+111411.2,0.2128960250074101,11.236464897811455,0.8653861880302429,972,58488,11546,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=0.2128960250074101&dec=11.236464897811455&plate=11546&mjd=58488&fiber=972&objId=11546-58488-0972
093211.17+143146.8,143.04658178083866,14.529679878110834,1.0085,233,57780,9585,https://skyserver.sdss.org/dr18/VisualTools/explore/summary?ra=143.04658178083866&dec=14.529679878110834&plate=9585&mjd=57780&fiber=233&objId=9585-57780-0233
