MJD,m,dm,F,source_name,RA,DEC
57232.27926,16.185,0.601,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57384.62284,15.118,0.401,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57385.617556,18.984,12.22,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57395.642039,19.994,0.447,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57395.64968,22.421,4.556,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57395.665303,18.826,3.992,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57395.680707,18.234,0.834,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57442.614715,17.406,4.062,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57442.616286,19.79,10.964,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57442.641351,18.783,20.748,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57442.641868,18.645,3.548,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57443.634743,16.284,1.796,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57443.635791,18.066,1.131,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57443.659444,21.764,85.684,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57451.609609,20.437,0.722,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57451.610093,20.649,0.927,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57451.645323,20.878,1.021,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57451.663988,18.753,0.608,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57455.586491,18.704,0.333,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57455.588506,19.367,0.602,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57455.612154,22.955,9.0,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57455.61385,20.034,0.493,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57455.636217,20.532,0.672,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57455.658911,19.42,0.473,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57459.590061,21.06,1.345,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57459.616217,20.406,0.707,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57459.652717,20.785,1.206,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57463.555228,20.448,49.477,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57463.576299,17.236,4.682,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57463.579256,16.589,2.878,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57463.614568,20.853,26.068,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57467.525007,19.317,17.503,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57467.548337,23.605,675.333,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57467.56951,15.91,1.577,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57467.589122,17.001,3.26,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57471.53279,22.652,160.0,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57471.544879,21.895,62.214,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57471.555616,18.998,2.715,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57471.556132,17.953,5.991,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57475.540572,18.622,6.235,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57475.562693,17.797,4.318,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57475.565566,16.735,2.579,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57475.59078,20.414,25.077,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57479.531855,20.131,0.662,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57487.482859,23.464,9.75,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57487.502688,20.384,0.811,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57487.514586,21.975,3.333,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57487.515305,21.2,1.48,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57487.535288,20.621,0.782,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57487.556745,20.276,0.573,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57489.482346,20.719,1.0,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57489.482884,20.937,0.975,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57513.442512,20.626,0.83,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57513.450763,20.11,0.5,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57513.459972,20.018,0.429,c,152942.19+350851.3,232.4258318203353,35.14758608779926
57524.415893,17.693,11.667,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57524.434847,11.952,0.693,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57524.453514,19.892,12.707,o,152942.19+350851.3,232.4258318203353,35.14758608779926
