survey,source_name,band,N,baseline_days,tier
Catalina,110104.14+062829.5,,897,3166.1697799999965,trusted
Catalina,161742.53+322234.4,,727,3078.7604099999953,trusted
Catalina,095919.14+090659.4,,689,3180.2611499999985,trusted
Catalina,150348.33+193941.3,,670,3032.8347300000023,trusted
Catalina,093856.54+435415.0,,669,2902.0776600000027,trusted
Catalina,121028.83+025454.2,,504,2999.8854900000006,trusted
Catalina,022325.01-003612.6,,493,2963.9594399999987,trusted
Catalina,075005.28+292944.3,,473,3090.3171099999963,trusted
Catalina,095746.83+303024.2,,462,2977.9910700000037,trusted
Catalina,164331.90+304835.5,,427,3116.684699999998,trusted
Catalina,113618.90+125554.8,,415,2966.0166700000045,trusted
Catalina,083325.69+391204.7,,414,2915.105730000003,trusted
Catalina,154535.87+014958.1,,386,3199.1062399999937,trusted
Catalina,220546.32+005319.2,,383,3082.728860000003,trusted
Catalina,090550.30+003948.1,,373,2932.9846499999985,trusted
Catalina,092158.92+034235.7,,371,2962.97163,trusted
Catalina,133433.24-013825.3,,327,2984.876759999999,trusted
Catalina,205601.38-062049.7,,326,3067.7281900000016,trusted
Catalina,012715.48-001115.1,,308,2964.0261000000028,trusted
Catalina,152942.19+350851.3,,288,3082.822189999999,trusted
Catalina,084245.18+445533.9,,285,2879.1675600000017,trusted
Catalina,143947.10+421317.3,,246,2952.9667499999996,trusted
Catalina,075947.73+112507.3,,237,2554.964899999999,trusted
Catalina,132404.20+433407.1,,229,2931.0335399999967,trusted
Catalina,153145.14+431933.8,,226,3031.815849999999,trusted
Catalina,140655.51+582200.0,,211,2936.039660000002,trusted
Catalina,134406.11+392817.4,,203,2981.991040000001,trusted
Catalina,082311.26+435318.5,,199,2792.2899400000024,trusted
Catalina,143418.47+491236.5,,173,2939.936330000004,trusted
Catalina,172052.29+590153.7,,167,2716.737280000001,trusted
Catalina,094203.33+593709.5,,141,2822.267949999994,trusted
ALERCE,095746.83+303024.2,2,392,1934.912256900221,trusted
ALERCE,152942.19+350851.3,1,265,2823.1053124996834,trusted
ALERCE,095746.83+303024.2,1,261,1930.8888889001682,trusted
ALERCE,001255.59+014750.9,1,225,2305.6985069001094,trusted
ALERCE,132404.20+433407.1,1,225,2492.131782400422,trusted
ALERCE,152942.19+350851.3,2,213,2787.203564800322,trusted
ALERCE,132404.20+433407.1,2,139,2177.9937847000547,trusted
ALERCE,022325.01-003612.6,1,136,1537.9363309997134,trusted
ALERCE,001255.59+014750.9,2,126,2297.776585599873,trusted
ALERCE,075947.73+112507.3,2,112,1086.9173379996791,trusted
ALERCE,022325.01-003612.6,2,106,1541.99016200006,trusted
ALERCE,075947.73+112507.3,1,83,1108.989976900164,trusted
ALERCE,153145.14+431933.8,1,58,2002.8059837999754,trusted
ALERCE,153145.14+431933.8,2,29,1972.7684953999706,marginal
ALERCE,092158.92+034235.7,1,26,829.839652699884,marginal
ALERCE,092158.92+034235.7,2,26,827.883854100015,marginal
ALERCE,082311.26+435318.5,2,24,370.0155671001412,marginal
ALERCE,161742.53+322234.4,2,19,2446.6176388999447,excluded
ALERCE,150348.33+193941.3,1,17,115.75535880029202,excluded
ALERCE,161742.53+322234.4,1,17,2450.6388194998726,excluded
ALERCE,150348.33+193941.3,2,17,96.7654745997861,excluded
ALERCE,075005.28+292944.3,1,13,1800.2492593000643,excluded
ALERCE,075005.28+292944.3,2,12,1875.8864815002307,excluded
ALERCE,083325.69+391204.7,2,5,7.999988399911672,excluded
ALERCE,143947.10+421317.3,2,3,20.910995400045067,excluded
ALERCE,093856.54+435415.0,2,3,24.982175899669528,excluded
ALERCE,134406.11+392817.4,1,3,702.9738309998065,excluded
ALERCE,095746.83+303024.2,3,2,1.0147107001394033,excluded
ALERCE,220546.32+005319.2,2,1,0.0,excluded
ALERCE,001255.59+014750.9,3,1,0.0,excluded
ALERCE,110104.14+062829.5,1,1,0.0,excluded
ALERCE,093856.54+435415.0,1,1,0.0,excluded
ATLAS,134406.11+392817.4,o,2796,4014.9722150000016,trusted
ATLAS,113618.90+125554.8,o,2632,3819.4145070000013,trusted
ATLAS,152942.19+350851.3,o,2613,3990.074299,trusted
ATLAS,095746.83+303024.2,o,2533,3892.6874730000054,trusted
ATLAS,132404.20+433407.1,o,2467,3882.6911120000004,trusted
ATLAS,164331.90+304835.5,o,2149,4008.004762000004,trusted
ATLAS,150348.33+193941.3,o,2050,4019.0334650000004,trusted
ATLAS,093856.54+435415.0,o,2018,3866.7153069999986,trusted
ATLAS,092158.92+034235.7,o,1981,3892.3188459999947,trusted
ATLAS,140655.51+582200.0,o,1913,4014.0089399999997,trusted
ATLAS,154535.87+014958.1,o,1877,3779.675783999999,trusted
ATLAS,205601.38-062049.7,o,1759,4022.076418000004,trusted
ATLAS,172052.29+590153.7,o,1691,4015.091192,trusted
ATLAS,095919.14+090659.4,o,1672,3895.346771999997,trusted
ATLAS,133433.24-013825.3,o,1659,3881.0854270000054,trusted
ATLAS,161742.53+322234.4,o,1656,3893.2495969999945,trusted
ATLAS,090550.30+003948.1,o,1646,3874.317332999999,trusted
ATLAS,121028.83+025454.2,o,1639,4042.4199309999967,trusted
ATLAS,084245.18+445533.9,o,1601,3862.713055,trusted
ATLAS,075005.28+292944.3,o,1577,3868.6631510000007,trusted
ATLAS,143947.10+421317.3,o,1575,4016.0275170000023,trusted
ATLAS,094203.33+593709.5,o,1554,3804.7971370000014,trusted
ATLAS,075947.73+112507.3,o,1521,3872.3772099999987,trusted
ATLAS,143418.47+491236.5,o,1437,4016.039515000004,trusted
ATLAS,110104.14+062829.5,o,1378,3790.3593400000027,trusted
ATLAS,083325.69+391204.7,o,1188,3862.6369819999964,trusted
ATLAS,001255.59+014750.9,o,1169,4015.0176409999985,trusted
ATLAS,022325.01-003612.6,o,1169,4009.5831580000013,trusted
ATLAS,012715.48-001115.1,o,1166,4015.0316969999985,trusted
ATLAS,153145.14+431933.8,o,1149,3862.714745999998,trusted
ATLAS,220546.32+005319.2,o,1112,4008.866095999998,trusted
ATLAS,082311.26+435318.5,o,994,3803.804885999998,trusted
ATLAS,095746.83+303024.2,c,787,3887.692891000006,trusted
ATLAS,152942.19+350851.3,c,780,3429.803221000002,trusted
ATLAS,113618.90+125554.8,c,666,3801.697570999997,trusted
ATLAS,132404.20+433407.1,c,650,3836.699550999998,trusted
ATLAS,164331.90+304835.5,c,627,3841.688341000001,trusted
ATLAS,172052.29+590153.7,c,622,3927.280673999994,trusted
ATLAS,134406.11+392817.4,c,618,3841.724018000001,trusted
ATLAS,092158.92+034235.7,c,610,3854.1043690000006,trusted
ATLAS,150348.33+193941.3,c,581,3992.0468059999985,trusted
ATLAS,161742.53+322234.4,c,554,3373.826208999999,trusted
ATLAS,090550.30+003948.1,c,500,3854.065834000001,trusted
ATLAS,095919.14+090659.4,c,492,3779.4556269999957,trusted
ATLAS,022325.01-003612.6,c,487,3993.0147390000056,trusted
ATLAS,121028.83+025454.2,c,457,3801.6891999999934,trusted
ATLAS,220546.32+005319.2,c,456,3934.086900999995,trusted
ATLAS,205601.38-062049.7,c,445,3910.2188000000024,trusted
ATLAS,154535.87+014958.1,c,438,3962.1633440000005,trusted
ATLAS,093856.54+435415.0,c,435,3883.653818999999,trusted
ATLAS,075005.28+292944.3,c,424,3862.683858000004,trusted
ATLAS,075947.73+112507.3,c,408,3860.351560000003,trusted
ATLAS,140655.51+582200.0,c,406,3835.6951190000036,trusted
ATLAS,133433.24-013825.3,c,395,3933.871183000003,trusted
ATLAS,094203.33+593709.5,c,386,3775.799067,trusted
ATLAS,110104.14+062829.5,c,372,3716.3246870000003,trusted
ATLAS,012715.48-001115.1,c,365,3813.8224680000058,trusted
ATLAS,143418.47+491236.5,c,350,3829.742311999995,trusted
ATLAS,084245.18+445533.9,c,313,3776.829206000002,trusted
ATLAS,153145.14+431933.8,c,304,3836.7088719999956,trusted
ATLAS,143947.10+421317.3,c,270,3809.722041000001,trusted
ATLAS,083325.69+391204.7,c,258,3656.938881999995,trusted
ATLAS,001255.59+014750.9,c,246,3746.8965080000053,trusted
ATLAS,082311.26+435318.5,c,214,2890.054295999995,trusted
