source_name,MJD,mag,mag_err,RA,DEC
152942.19+350851.3,53480.29969,18.28,0.12,232.42567,35.14754
152942.19+350851.3,53480.30815,18.04,0.11,232.42563,35.14756
152942.19+350851.3,53480.31663,18.05,0.11,232.42567,35.14763
152942.19+350851.3,53480.32506,18.11,0.11,232.42578,35.14776
152942.19+350851.3,53562.19301,18.04,0.11,232.4257,35.14769
152942.19+350851.3,53562.19954,18.04,0.11,232.42575,35.14768
152942.19+350851.3,53562.20605,18.04,0.11,232.42564,35.14765
152942.19+350851.3,53562.21261,18.1,0.12,232.42578,35.14772
152942.19+350851.3,53526.27012,17.97,0.11,232.4258,35.1475
152942.19+350851.3,53526.27843,18.16,0.12,232.42571,35.14759
152942.19+350851.3,53526.28667,17.86,0.11,232.42581,35.14763
152942.19+350851.3,53526.29487,18.06,0.11,232.42571,35.14767
152942.19+350851.3,53534.27863,18.11,0.12,232.42569,35.14762
152942.19+350851.3,53534.28848,18.1,0.12,232.42579,35.14769
152942.19+350851.3,53534.29827,18.12,0.12,232.42576,35.14768
152942.19+350851.3,53534.30797,18.05,0.11,232.42568,35.14767
152942.19+350851.3,53549.22367,17.99,0.12,232.42575,35.14762
152942.19+350851.3,53549.23151,18.03,0.12,232.4258,35.14758
152942.19+350851.3,53549.23933,17.93,0.11,232.42566,35.1476
152942.19+350851.3,53549.24719,18.04,0.12,232.42578,35.14768
152942.19+350851.3,53509.27229,18.13,0.12,232.42563,35.14759
152942.19+350851.3,53509.28008,18.23,0.12,232.42565,35.14774
152942.19+350851.3,53509.28785,18.05,0.11,232.42564,35.1476
152942.19+350851.3,53509.29571,18.17,0.12,232.4258,35.14769
152942.19+350851.3,53852.41722,18.0,0.11,232.42564,35.14758
152942.19+350851.3,53852.42484,17.97,0.11,232.42589,35.14779
152942.19+350851.3,53852.43277,18.0,0.11,232.42561,35.14771
152942.19+350851.3,53852.44043,18.09,0.12,232.4257,35.14765
152942.19+350851.3,53900.25779,18.21,0.36,232.42584,35.1476
152942.19+350851.3,53900.25975,17.98,0.33,232.42547,35.14757
152942.19+350851.3,53796.43538,17.94,0.11,232.42578,35.14767
152942.19+350851.3,53796.44284,17.81,0.1,232.42563,35.14769
152942.19+350851.3,53796.45031,17.95,0.11,232.42585,35.14765
152942.19+350851.3,53796.45781,17.98,0.11,232.42571,35.14752
152942.19+350851.3,53861.40189,17.92,0.11,232.42594,35.14771
152942.19+350851.3,53861.40855,17.94,0.11,232.42576,35.14777
152942.19+350851.3,53861.41504,18.04,0.12,232.42568,35.14766
152942.19+350851.3,53861.4216,18.12,0.12,232.42562,35.14764
152942.19+350851.3,53886.3363,18.05,0.12,232.42564,35.14777
152942.19+350851.3,53886.34438,18.03,0.12,232.42569,35.14755
152942.19+350851.3,53886.35244,18.09,0.12,232.42568,35.14755
152942.19+350851.3,53886.36059,18.1,0.12,232.42566,35.14774
152942.19+350851.3,53994.12845,18.19,0.12,232.42571,35.14769
152942.19+350851.3,53994.13325,18.07,0.11,232.4256,35.14767
152942.19+350851.3,53994.13805,18.08,0.11,232.42574,35.14751
152942.19+350851.3,53994.14287,18.13,0.11,232.42578,35.14764
152942.19+350851.3,54003.09933,18.2,0.16,232.42559,35.14762
152942.19+350851.3,54003.10358,18.04,0.15,232.4257,35.14755
152942.19+350851.3,54003.10786,18.12,0.16,232.42552,35.14761
152942.19+350851.3,54003.11213,18.1,0.15,232.42559,35.14767
152942.19+350851.3,54209.40733,18.22,0.12,232.42566,35.14768
152942.19+350851.3,54209.41489,18.11,0.12,232.42583,35.14763
152942.19+350851.3,54209.42247,18.32,0.12,232.42572,35.14759
152942.19+350851.3,54209.43,18.34,0.13,232.42565,35.14761
152942.19+350851.3,54157.34903,18.12,0.12,232.42559,35.14763
152942.19+350851.3,54157.35886,18.15,0.12,232.4259,35.14775
152942.19+350851.3,54157.36865,18.2,0.12,232.42583,35.1477
152942.19+350851.3,54157.37842,18.1,0.11,232.42589,35.14759
152942.19+350851.3,54258.28085,18.28,0.12,232.42575,35.14767
152942.19+350851.3,54258.28685,18.19,0.12,232.42575,35.14763
152942.19+350851.3,54258.29283,18.43,0.13,232.42561,35.14761
152942.19+350851.3,54258.29879,18.19,0.12,232.42586,35.14762
152942.19+350851.3,54272.27805,18.26,0.13,232.42574,35.14756
152942.19+350851.3,54272.2835,18.34,0.13,232.42577,35.1475
152942.19+350851.3,54272.28894,18.36,0.13,232.42567,35.14766
152942.19+350851.3,54272.29437,18.29,0.13,232.42564,35.14763
152942.19+350851.3,54176.37363,17.86,0.11,232.42584,35.14767
152942.19+350851.3,54176.38122,18.1,0.13,232.42567,35.14778
152942.19+350851.3,54176.38879,18.32,0.12,232.42586,35.14766
152942.19+350851.3,54176.39642,18.29,0.12,232.4256,35.14764
152942.19+350851.3,54232.39215,18.25,0.12,232.42562,35.14763
152942.19+350851.3,54232.39916,18.13,0.12,232.42572,35.14755
152942.19+350851.3,54232.40616,18.36,0.13,232.42584,35.14765
152942.19+350851.3,54232.41319,18.31,0.13,232.42585,35.14747
152942.19+350851.3,54240.23348,18.25,0.13,232.42562,35.14756
152942.19+350851.3,54240.24172,18.27,0.13,232.42588,35.14774
152942.19+350851.3,54240.24998,18.3,0.13,232.42564,35.14751
152942.19+350851.3,54240.25839,18.22,0.13,232.42567,35.14759
152942.19+350851.3,54392.0889,18.39,0.14,232.42564,35.14773
152942.19+350851.3,54392.09228,18.26,0.14,232.42584,35.1477
152942.19+350851.3,54392.09566,18.34,0.14,232.42548,35.14776
152942.19+350851.3,54392.09903,18.3,0.14,232.42573,35.14755
152942.19+350851.3,54348.14868,18.25,0.11,232.42591,35.14768
152942.19+350851.3,54348.15658,18.37,0.12,232.42574,35.1477
152942.19+350851.3,54348.16463,18.25,0.11,232.4257,35.14765
152942.19+350851.3,54348.17287,18.14,0.11,232.42571,35.14773
152942.19+350851.3,54559.44686,18.42,0.13,232.42573,35.1477
152942.19+350851.3,54559.45195,18.38,0.13,232.42554,35.14768
152942.19+350851.3,54559.45706,18.37,0.13,232.42581,35.14761
152942.19+350851.3,54559.46219,18.39,0.13,232.42582,35.14768
152942.19+350851.3,54567.42086,18.34,0.12,232.42557,35.14761
152942.19+350851.3,54567.4279,18.42,0.13,232.42578,35.14768
152942.19+350851.3,54567.43499,18.36,0.13,232.42566,35.14762
152942.19+350851.3,54567.44204,18.54,0.13,232.42553,35.14772
152942.19+350851.3,54573.27058,18.34,0.13,232.42575,35.14731
152942.19+350851.3,54573.27817,18.51,0.13,232.42546,35.14775
152942.19+350851.3,54573.28576,18.45,0.13,232.42543,35.14786
152942.19+350851.3,54573.29334,18.52,0.13,232.42573,35.14766
152942.19+350851.3,54584.31331,18.24,0.12,232.42563,35.14769
152942.19+350851.3,54584.31763,18.39,0.13,232.42564,35.14765
152942.19+350851.3,54584.32195,18.38,0.12,232.42591,35.14762
152942.19+350851.3,54584.32627,18.35,0.12,232.42563,35.14779
152942.19+350851.3,54508.46245,18.33,0.12,232.4256,35.14758
152942.19+350851.3,54508.46844,18.5,0.13,232.4257,35.14776
152942.19+350851.3,54508.47437,18.34,0.12,232.42577,35.14758
152942.19+350851.3,54508.48034,18.38,0.12,232.42575,35.14764
152942.19+350851.3,54525.37166,18.32,0.14,232.42582,35.14764
152942.19+350851.3,54525.37909,18.26,0.16,232.42581,35.14781
152942.19+350851.3,54525.38656,18.5,0.16,232.42555,35.1477
152942.19+350851.3,54525.39401,18.37,0.16,232.42565,35.14758
152942.19+350851.3,54640.32554,18.3,0.13,232.42551,35.14764
152942.19+350851.3,54640.33204,18.39,0.13,232.42559,35.14747
152942.19+350851.3,54640.33861,18.46,0.13,232.42571,35.14756
152942.19+350851.3,54640.34518,18.23,0.12,232.42573,35.14765
152942.19+350851.3,54531.39774,18.3,0.12,232.42579,35.1477
152942.19+350851.3,54531.40758,18.3,0.12,232.42567,35.14767
152942.19+350851.3,54531.41744,18.49,0.13,232.4257,35.14751
152942.19+350851.3,54531.42726,18.39,0.13,232.4257,35.14761
152942.19+350851.3,54548.38578,18.35,0.12,232.42585,35.14761
152942.19+350851.3,54548.392,18.59,0.14,232.42551,35.1476
152942.19+350851.3,54548.39815,18.47,0.13,232.42599,35.14783
152942.19+350851.3,54548.40432,18.53,0.13,232.42573,35.14756
152942.19+350851.3,54593.38623,18.4,0.13,232.42549,35.14782
152942.19+350851.3,54593.39278,18.36,0.13,232.42565,35.14786
152942.19+350851.3,54593.39933,18.35,0.13,232.42567,35.14777
152942.19+350851.3,54593.4059,18.41,0.13,232.42573,35.14764
152942.19+350851.3,54600.2764,18.41,0.13,232.42588,35.14764
152942.19+350851.3,54600.28357,18.36,0.13,232.4259,35.14775
152942.19+350851.3,54600.29074,18.21,0.12,232.42584,35.14793
152942.19+350851.3,54600.29791,18.37,0.13,232.42563,35.14777
152942.19+350851.3,54732.10215,18.32,0.15,232.42563,35.14786
152942.19+350851.3,54732.10739,18.22,0.14,232.42563,35.1477
152942.19+350851.3,54732.11305,18.29,0.15,232.42584,35.14761
152942.19+350851.3,54732.11833,18.32,0.15,232.42575,35.14777
152942.19+350851.3,54923.34,18.24,0.12,232.42572,35.14774
152942.19+350851.3,54923.34649,18.18,0.12,232.4257,35.14769
152942.19+350851.3,54923.35306,18.08,0.11,232.42575,35.14782
152942.19+350851.3,54941.44572,18.17,0.12,232.42573,35.14755
152942.19+350851.3,54941.45114,18.01,0.11,232.42576,35.14773
