survey,source_name,band,N,F_mean,S2,sigma2_err_mean,excess_var_norm,Fvar,baseline_days,tier
Catalina,154535.87+014958.1,,362,1.0986734658297041e-7,1.249663407031861e-16,1.0246674082887681e-16,0.0018639640113420055,0.043173649502236955,3199.1062399999937,trusted
Catalina,083325.69+391204.7,,412,6.425072759563747e-8,5.3265019213378545e-17,4.513135792772609e-17,0.0019702892265730486,0.04438794010283704,2915.105730000003,trusted
Catalina,220546.32+005319.2,,382,7.381853213690689e-8,7.098586371440109e-17,6.138453273894142e-17,0.001761978605063881,0.04197592887672506,3082.728860000003,trusted
Catalina,172052.29+590153.7,,166,5.86172884691196e-8,4.366050571530399e-17,4.688720281092346e-17,-0.0009390889890290949,,2716.737280000001,trusted
Catalina,113618.90+125554.8,,401,3.784090797930105e-8,3.325534134871632e-17,2.4816275067771235e-17,0.005893473033320234,0.0767689587875219,2966.0166700000045,trusted
Catalina,094203.33+593709.5,,141,3.3258044318240575e-8,8.787121673228847e-17,2.2476995352045032e-17,0.05912156991425323,0.24314927496139738,2822.267949999994,trusted
Catalina,132404.20+433407.1,,229,5.8569133058537473e-8,9.431836477978481e-17,4.3573937531488725e-17,0.014792812879588831,0.1216257081360221,2931.0335399999967,trusted
Catalina,075947.73+112507.3,,235,6.554061171566151e-8,8.820071943095877e-17,4.77100300498238e-17,0.009426146603196918,0.0970883443220499,2554.964899999999,trusted
Catalina,095919.14+090659.4,,515,2.5309627912220245e-8,3.356404074168937e-17,1.47797878178299e-17,0.029323945679285906,0.17124235947710456,3180.2611499999985,trusted
Catalina,090550.30+003948.1,,362,3.331982548170356e-8,3.5098868935979246e-17,2.1166006718026983e-17,0.012549745141011348,0.11202564501493106,2932.9846499999985,trusted
Catalina,022325.01-003612.6,,469,4.531285390705975e-8,6.779945835290616e-16,3.3414762634399887e-17,0.3139307615986882,0.560295245025949,2963.9594399999987,trusted
Catalina,133433.24-013825.3,,312,7.317853372552788e-8,8.33217929353782e-17,5.319298951176838e-17,0.005626191072296466,0.07500794006167924,2984.876759999999,trusted
Catalina,082311.26+435318.5,,196,9.234384729868972e-7,1.6037581267599308e-13,2.9125671252994437e-15,0.18465593451230258,0.4297161092073493,2792.2899400000024,trusted
Catalina,150348.33+193941.3,,340,2.970537401190012e-7,1.2425191396401737e-16,3.8196745439791743e-16,-0.0029205897585459083,,3032.8347300000023,trusted
Catalina,143947.10+421317.3,,243,3.336663704926143e-8,3.593191998320727e-17,2.1617116766157458e-17,0.012857617673774397,0.11339143562798029,2952.9667499999996,trusted
Catalina,205601.38-062049.7,,324,2.2633454200842878e-8,4.751554191049126e-17,1.6027384904330165e-17,0.06146750208768269,0.24792640457942894,3067.7281900000016,trusted
Catalina,152942.19+350851.3,,288,5.110694106802928e-8,5.002385564335637e-17,3.6958798093029626e-17,0.005002090578912465,0.07072545919902157,3082.822189999999,trusted
Catalina,134406.11+392817.4,,194,8.280752540330565e-8,7.628472778745554e-17,6.180639255917876e-17,0.0021114413137129657,0.045950422345316544,2981.991040000001,trusted
