survey,source_name,band,N,F_mean,S2,sigma2_err_mean,excess_var_norm,Fvar,baseline_days,tier,R_Fe,fwhm_hbeta
Catalina,094203.33+593709.5,,140,3.339424052610736e-8,8.586910106190105e-17,2.254188333411884e-17,0.05678678294781577,0.23829977538347738,2822.267949999994,trusted,0.7000606413769409,13782.61565800731
Catalina,150348.33+193941.3,,340,2.970537401190012e-7,1.2425191396401737e-16,3.8196745439791743e-16,-0.0029205897585459083,,3032.8347300000023,trusted,1.4182979747423967,4784.922019382111
Catalina,083325.69+391204.7,,412,6.425072759563747e-8,5.3265019213378545e-17,4.513135792772609e-17,0.0019702892265730486,0.04438794010283704,2915.105730000003,trusted,1.2611585696768872,2832.1989685733406
Catalina,143947.10+421317.3,,243,3.336663704926143e-8,3.593191998320727e-17,2.1617116766157458e-17,0.012857617673774397,0.11339143562798029,2952.9667499999996,trusted,1.201988676724,3097.7160208840537
Catalina,095919.14+090659.4,,512,2.5334742003342546e-8,3.3061807955795304e-17,1.430047831657619e-17,0.029230122949871346,0.17096819280167685,3180.2611499999985,trusted,1.3657596861066559,2335.812570263039
Catalina,153145.14+431933.8,,222,3.3409626808493636e-8,1.1055044674787368e-16,2.2437298158888325e-17,0.07894006348633845,0.28096274394719745,3031.815849999999,trusted,0.41643337883986437,12595.486704446996
Catalina,164331.90+304835.5,,424,1.534692110374386e-7,2.441955254826059e-16,1.701443142005161e-16,0.0031440514611742075,0.05607184196345085,3116.684699999998,trusted,0.37529489987576015,14133.551682334535
Catalina,132404.20+433407.1,,226,5.8674484558616953e-8,9.445761059432881e-17,4.138997350233147e-17,0.015414561836411931,0.1241553939078441,2931.0335399999967,trusted,0.6029407938852226,12143.147171734618
Catalina,140655.51+582200.0,,191,7.32138354055989e-8,6.163334452417894e-16,5.559050268289405e-17,0.10461103506549473,0.323436292127978,2936.039660000002,trusted,0.6900370835795584,13130.73881267496
Catalina,220546.32+005319.2,,382,7.381853213690689e-8,7.098586371440109e-17,6.138453273894142e-17,0.001761978605063881,0.04197592887672506,3082.728860000003,trusted,2.0518496884917417,1782.4222846699492
Catalina,161742.53+322234.4,,724,3.56235937606029e-7,8.775602327160512e-14,7.269226269118821e-16,0.6857866654311472,0.8281223734636972,3078.7604099999953,trusted,0.4475634175199525,15966.901734174797
Catalina,134406.11+392817.4,,194,8.280752540330565e-8,7.628472778745554e-17,6.180639255917876e-17,0.0021114413137129657,0.045950422345316544,2981.991040000001,trusted,2.663022458884681,1782.1751241909635
Catalina,152942.19+350851.3,,286,5.10577994972286e-8,4.976184310244088e-17,3.4843656745095234e-17,0.005722579581984297,0.07564773348874569,3082.822189999999,trusted,0.45044016736895237,12390.855403892732
Catalina,133433.24-013825.3,,307,7.328544345312453e-8,8.159768103729783e-17,4.908677458190317e-17,0.0060533200746458165,0.07780308525145913,2984.876759999999,trusted,0.4327803900711414,19293.37067671904
Catalina,154535.87+014958.1,,353,1.1013196774180658e-7,1.2128054309384465e-16,9.408478263204345e-17,0.002242200316368684,0.04735187764353895,3199.1062399999937,trusted,0.8990590990743279,12723.492644990738
Catalina,092158.92+034235.7,,364,4.7082228709714895e-8,3.4240910562503985e-17,2.959240115742125e-17,0.002097006075277696,0.04579307890148571,2962.97163,trusted,0.7844631694550867,15120.656142134258
Catalina,082311.26+435318.5,,196,9.234384729868972e-7,1.6037581267599308e-13,2.9125671252994437e-15,0.18465593451230258,0.4297161092073493,2792.2899400000024,trusted,0.48265221146001236,14652.812151470938
Catalina,084245.18+445533.9,,275,3.019072986794736e-8,3.080324918813951e-17,1.7854950350091258e-17,0.01420579324136635,0.11918805830017683,2879.1675600000017,trusted,1.5203514552818407,2513.1691650570715
Catalina,110104.14+062829.5,,647,8.004076075576106e-8,1.3346190159370697e-16,4.845895274895786e-17,0.01326818677955456,0.11518761556501879,3166.1697799999965,trusted,2.063623714980956,2585.8088626101658
Catalina,012715.48-001115.1,,292,1.7501349913675026e-8,3.0847762639794886e-17,1.0013578914255362e-17,0.06801949350541732,0.26080547062018716,2964.0261000000028,trusted,1.723738523388939,17675.051020118703
Catalina,090550.30+003948.1,,358,3.334205326611918e-8,3.4689461031761336e-17,2.0003009243126553e-17,0.013210893819334803,0.11493865241656004,2932.9846499999985,trusted,0.3846479446890111,13040.138733952152
Catalina,075947.73+112507.3,,232,6.572558543952905e-8,8.516753754653007e-17,4.3635098817958524e-17,0.009614318532002114,0.09805263143843777,2554.964899999999,trusted,0.8558013270979767,12733.883455291054
Catalina,075005.28+292944.3,,463,3.899473399339436e-8,5.519752276840441e-16,2.822878731738707e-17,0.344436494144453,0.5868871221491003,3090.3171099999963,trusted,1.3038475984801843,1743.3897682881582
Catalina,022325.01-003612.6,,386,5.217085760062345e-8,5.233575250628926e-16,3.603323786788666e-17,0.17904496169787928,0.4231370483636233,2963.9594399999987,trusted,0.5426685807130428,14072.017000864613
Catalina,172052.29+590153.7,,162,5.846836054532515e-8,3.98687529597831e-17,4.231939211422438e-17,-0.0007168652612330274,,2716.737280000001,trusted,0.9071280496858504,12702.999820522198
Catalina,205601.38-062049.7,,311,2.3133552377315703e-8,4.296100831304212e-17,1.621684667063671e-17,0.049974025328983575,0.22354870907474186,3067.7281900000016,trusted,2.141608811580593,2041.7586890614584
Catalina,095746.83+303024.2,,454,3.931372932287007e-8,4.057049538948744e-17,2.43098544723687e-17,0.010520809890237641,0.10257099926508292,2977.9910700000037,trusted,0.3121338479063912,12310.073277371614
Catalina,113618.90+125554.8,,370,3.7899078791296173e-8,3.3463694880940674e-17,2.380598574066924e-17,0.0067238313877700856,0.08199897187020143,2966.0166700000045,trusted,1.357826941000323,2550.072589976897
Catalina,121028.83+025454.2,,395,3.730424905695698e-8,2.9625925670730865e-17,2.1686484048159377e-17,0.005705232609259433,0.07553299020467436,2999.8854900000006,trusted,1.4238146190193512,1721.8073858472812
Catalina,143418.47+491236.5,,173,8.236358312819945e-8,5.640433773873131e-17,7.3049093281912e-17,-0.0024536180482221514,,2939.936330000004,trusted,0.8858130804105774,12006.278697830545
Catalina,093856.54+435415.0,,657,9.23204727229656e-8,5.2235099126655724e-15,8.791998983340834e-17,0.602551676023302,0.7762420215521071,2902.0776600000027,trusted,1.1528499393617284,13950.718834997242
ALERCE,153145.14+431933.8,2,23,3.0373595089009416e-8,7.56996932826569e-17,4.2526633703151135e-17,0.03595780149751949,0.18962542418547015,1972.7684953999706,marginal,0.41643337883986437,12595.486704446996
ALERCE,001255.59+014750.9,1,195,1.3042971826629444e-8,1.4610832893293473e-17,6.044027995198874e-18,0.05035768581863764,0.22440518224550352,2305.6985069001094,trusted,1.3057898256544467,12701.601059969164
ALERCE,153145.14+431933.8,1,58,2.8044596869788237e-8,9.610447442535338e-17,3.695672804438407e-17,0.07520380226485823,0.2742331166450512,2002.8059837999754,trusted,0.41643337883986437,12595.486704446996
ALERCE,001255.59+014750.9,2,103,1.7868293779019053e-8,1.4841342942975936e-17,1.1852760648199392e-17,0.009360500067430326,0.09674967735052312,2297.776585599873,trusted,1.3057898256544467,12701.601059969164
ALERCE,095746.83+303024.2,1,258,3.6728916450833714e-8,9.274590768514141e-17,2.3115503470182624e-17,0.051615802473141806,0.22719111442382997,1930.8888889001682,trusted,0.3121338479063912,12310.073277371614
ALERCE,022325.01-003612.6,1,136,4.180232661433428e-8,5.147935687085499e-18,6.918219548913887e-17,-0.036644726553123064,,1537.9363309997134,trusted,0.5426685807130428,14072.017000864613
ALERCE,152942.19+350851.3,1,251,1.1702166009357925e-7,9.126842127863925e-16,5.3661610299987235e-17,0.06272953691201318,0.25045865309869647,2823.1053124996834,trusted,0.45044016736895237,12390.855403892732
ALERCE,152942.19+350851.3,2,199,1.3681882009827606e-7,7.180303869291441e-16,7.112677985707712e-17,0.03455794356588056,0.18589766960852563,2787.203564800322,trusted,0.45044016736895237,12390.855403892732
ALERCE,095746.83+303024.2,2,390,6.312044006745046e-8,1.8079039983941425e-16,4.195490271243451e-17,0.034846605889570975,0.18667245616204597,1934.912256900221,trusted,0.3121338479063912,12310.073277371614
ALERCE,132404.20+433407.1,2,137,4.526067011858188e-8,1.2004817477392925e-17,6.746030314877975e-17,-0.027070891217616366,,2177.9937847000547,trusted,0.6029407938852226,12143.147171734618
ALERCE,075947.73+112507.3,2,112,3.853776816828204e-8,2.2228151513610727e-17,4.077830665479479e-17,-0.012490344774085772,,1086.9173379996791,trusted,0.8558013270979767,12733.883455291054
ALERCE,082311.26+435318.5,2,24,1.4091221539455628e-7,8.615324937929037e-17,8.882403717213885e-17,-0.00013450613603565234,,370.0155671001412,marginal,0.48265221146001236,14652.812151470938
ALERCE,075947.73+112507.3,1,83,1.9778473944563757e-8,1.9451959343815646e-17,1.277837765684249e-17,0.017059779820181534,0.1306130920703646,1108.989976900164,trusted,0.8558013270979767,12733.883455291054
ATLAS,164331.90+304835.5,c,531,4.9961653746982485e-9,8.652895855680618e-17,2.153397164577376e-16,-5.160342472782468,,3841.688341000001,trusted,0.37529489987576015,14133.551682334535
ATLAS,133433.24-013825.3,c,346,5.93746162836186e-9,1.0552665771108633e-16,6.965104098134699e-17,1.0176483757217485,1.0087855945252928,3933.871183000003,trusted,0.4327803900711414,19293.37067671904
ATLAS,092158.92+034235.7,c,529,7.225051603891782e-9,1.301205424480209e-16,9.070013486989398e-17,0.7551603926381457,0.8689996505397144,3854.1043690000006,trusted,0.7844631694550867,15120.656142134258
ATLAS,132404.20+433407.1,c,582,8.821435541595738e-9,3.859895139669092e-17,1.594081178061737e-17,0.29116939118746143,0.5396011408322461,3836.699550999998,trusted,0.6029407938852226,12143.147171734618
ATLAS,143947.10+421317.3,c,240,5.453484983362714e-9,3.2867814618434966e-17,1.164644736604815e-16,-2.81086946622314,,3809.722041000001,trusted,1.201988676724,3097.7160208840537
ATLAS,152942.19+350851.3,o,2089,4.265219500063082e-8,3.599984575737111e-15,2.51570692462348e-15,0.5960157469715628,0.7720205612362684,3990.074299,trusted,0.45044016736895237,12390.855403892732
ATLAS,095746.83+303024.2,c,647,2.4035959641958685e-8,4.118715468915788e-16,6.273922368936046e-17,0.604320220655585,0.7773803577757705,3887.692891000006,trusted,0.3121338479063912,12310.073277371614
ATLAS,143947.10+421317.3,o,1347,8.993002651071798e-9,3.546471412733848e-16,6.02836804915658e-16,-3.0688400096460855,,4016.0275170000023,trusted,1.201988676724,3097.7160208840537
ATLAS,083325.69+391204.7,o,1040,1.0255854562288372e-8,4.0246998030038543e-16,6.07332854974692e-16,-1.9476887488970624,,3862.6369819999964,trusted,1.2611585696768872,2832.1989685733406
ATLAS,090550.30+003948.1,o,1424,1.0737447674540429e-8,5.487535032123164e-16,8.341281237364143e-16,-2.47521669768823,,3874.317332999999,trusted,0.3846479446890111,13040.138733952152
ATLAS,172052.29+590153.7,o,1461,7.124423762372925e-9,1.7880405627093733e-16,2.281878778200542e-16,-0.9729380933746518,,4015.091192,trusted,0.9071280496858504,12702.999820522198
ATLAS,022325.01-003612.6,o,1041,1.4659981135660996e-8,1.596714478291067e-15,1.845295333804806e-15,-1.156647052413184,,4009.5831580000013,trusted,0.5426685807130428,14072.017000864613
ATLAS,075947.73+112507.3,c,343,1.1070131270817136e-8,2.3867055309002076e-16,7.765490318121882e-17,1.313900711081134,1.1462550811582621,3860.351560000003,trusted,0.8558013270979767,12733.883455291054
ATLAS,093856.54+435415.0,o,1755,9.529200334675772e-9,2.0592611371896496e-16,2.5019626768649247e-16,-0.4875263771673571,,3866.7153069999986,trusted,1.1528499393617284,13950.718834997242
ATLAS,140655.51+582200.0,c,360,4.834324958003803e-9,4.483400581513057e-17,3.659796924666749e-17,0.3524086717090505,0.5936401870738288,3835.6951190000036,trusted,0.6900370835795584,13130.73881267496
ATLAS,143418.47+491236.5,o,1241,8.978114988140217e-9,4.072382150190319e-16,6.962015399106996e-16,-3.5848616447129,,4016.039515000004,trusted,0.8858130804105774,12006.278697830545
ATLAS,220546.32+005319.2,o,917,5.795490101649422e-8,3.370410651748229e-14,2.6383178679674663e-14,2.1796451186030827,1.476362123126668,4008.866095999998,trusted,2.0518496884917417,1782.4222846699492
ATLAS,161742.53+322234.4,c,462,7.311076040498224e-8,8.62444514892412e-16,1.0757342959443932e-17,0.15933731851725172,0.399170788657251,3373.826208999999,trusted,0.4475634175199525,15966.901734174797
ATLAS,154535.87+014958.1,c,385,5.502689963846969e-9,1.3183814901877117e-16,1.193520153954821e-16,0.4123612903434614,0.642153634532626,3962.1633440000005,trusted,0.8990590990743279,12723.492644990738
ATLAS,154535.87+014958.1,o,1633,8.548064309080604e-9,2.045448530089278e-16,3.3892314871002637e-16,-1.8390501275383648,,3779.675783999999,trusted,0.8990590990743279,12723.492644990738
ATLAS,095919.14+090659.4,c,438,4.2456469783023275e-9,2.277999699115837e-17,3.748880594857246e-17,-0.8159992263018606,,3779.4556269999957,trusted,1.3657596861066559,2335.812570263039
ATLAS,095746.83+303024.2,o,2095,2.900853879068913e-8,8.026555855243782e-16,3.440834907876439e-16,0.544949071406275,0.7382066590097078,3892.6874730000054,trusted,0.3121338479063912,12310.073277371614
ATLAS,082311.26+435318.5,c,175,2.550936006574561e-8,5.117276337244683e-15,7.222245672646981e-16,6.7540592662412475,2.5988573000919555,2890.054295999995,trusted,0.48265221146001236,14652.812151470938
ATLAS,092158.92+034235.7,o,1713,1.0969193523951219e-8,3.684565598602823e-16,5.643913438347267e-16,-1.6284039427352142,,3892.3188459999947,trusted,0.7844631694550867,15120.656142134258
ATLAS,012715.48-001115.1,o,999,9.74630384881796e-9,5.998975471945641e-16,6.357855817096979e-16,-0.37780680878189804,,4015.0316969999985,trusted,1.723738523388939,17675.051020118703
ATLAS,113618.90+125554.8,o,2260,9.167747545779325e-9,1.6272028773857467e-16,2.753698457271729e-16,-1.3403067381519658,,3819.4145070000013,trusted,1.357826941000323,2550.072589976897
